"U.S. real per capita GDP 2022, by state",
"Real per capita gross domestic product of the United States in 2022, by state (in chained 2012 U.S. dollars)",
,
District of Columbia,"192,419.80"
New York,"79,434.45"
Massachusetts,"77,896.55"
Washington,"74,773.65"
California,"73,934.82"
Connecticut,"69,641.21"
North Dakota,"68,174.08"
Alaska,"67,659.28"
Colorado,"66,068.44"
Delaware,"64,567.03"
Illinois,"63,421.32"
New Jersey,"62,807.50"
Nebraska,"62,776.64"
Wyoming,"62,516.83"
Texas,"62,482.67"
Minnesota,"61,273.96"
United States,"60,050.63"
Maryland,"59,805.37"
New Hampshire,"59,491.51"
Virginia,"59,070.57"
Utah,"56,781"
Kansas,"56,156.24"
Pennsylvania,"55,969.41"
Oregon,"55,377.03"
Iowa,"55,331.69"
South Dakota,"54,745.97"
Ohio,"54,347.30"
Georgia,"54,179.79"
Wisconsin,"52,897.76"
Hawaii,"52,366.69"
North Carolina,"52,295.68"
Tennessee,"52,156.90"
Nevada,"52,066.38"
Indiana,"51,654.32"
Rhode Island,"50,664.33"
Michigan,"48,865.12"
Missouri,"48,669.21"
Vermont,"48,519.62"
Arizona,"48,431.51"
Florida,"48,142.90"
Oklahoma,"47,611.35"
Louisiana,"47,308.15"
Maine,"46,750.62"
New Mexico,"44,793.18"
Kentucky,"44,627.98"
Montana,"44,308.19"
Idaho,"43,322.06"
South Carolina,"42,861.21"
Alabama,"42,028.45"
Arkansas,"41,545.40"
West Virginia,"40,364"
Mississippi,"35,555.54"
